GEO_ID,NAME,B01003_001E
1600000US4856000,"Pasadena city, Texas",151230
1600000US1751622,"Naperville city, Illinois",149640
1600000US1738570,"Joliet city, Illinois",148806
1600000US5305210,"Bellevue city, Washington",148145
1600000US4751560,"Murfreesboro city, Tennessee",146912
1600000US4848072,"Midland city, Texas",146042
1600000US3457000,"Paterson city, New Jersey",145227
1600000US1369000,"Savannah city, Georgia",144457
1600000US0908000,"Bridgeport city, Connecticut",144365
1600000US1765000,"Rockford city, Illinois",143707
1600000US0680000,"Torrance city, California",143589
1600000US4845384,"McAllen city, Texas",143258
1600000US4513330,"Charleston city, South Carolina",143151
1600000US3673000,"Syracuse city, New York",142310
1600000US0471510,"Surprise city, Arizona",141674
1600000US4819972,"Denton city, Texas",141522
1600000US0662938,"Roseville city, California",141492
1600000US0877290,"Thornton city, Colorado",141454
1600000US1245975,"Miramar city, Florida",141196
1600000US0656000,"Pasadena city, California",141040
1600000US4847892,"Mesquite city, Texas",140795
1600000US2052575,"Olathe city, Kansas",140557
1600000US3921000,"Dayton city, Ohio",140402
1600000US4813024,"Carrollton city, Texas",139272
1600000US4876000,"Waco city, Texas",139245
1600000US0653980,"Orange city, California",138661
1600000US0628000,"Fullerton city, California",138638
1600000US4983470,"West Valley City city, Utah",135255
1600000US1239925,"Lehigh Acres CDP, Florida",134667
1600000US0682954,"Visalia city, California",134608
1600000US5135000,"Hampton city, Virginia",134510
1600000US1225175,"Gainesville city, Florida",133990
1600000US2684000,"Warren city, Michigan",133944
1600000US1214400,"Coral Springs city, Florida",133765
1600000US7214290,"Carolina zona urbana, Puerto Rico",133757
1600000US1912000,"Cedar Rapids city, Iowa",133563
1600000US4863500,"Round Rock city, Texas",133435
1600000US2676460,"Sterling Heights city, Michigan",132429
1600000US5335415,"Kent city, Washington",132320
1600000US4856348,"Pearland city, Texas",131448
1600000US4516000,"Columbia city, South Carolina",131323
1600000US2250115,"Metairie CDP, Louisiana",130427
1600000US0669084,"Santa Clara city, California",130371
1600000US0952000,"New Haven city, Connecticut",130257
1600000US0973000,"Stamford city, Connecticut",129636
1600000US0616000,"Concord city, California",129320
1600000US3421000,"Elizabeth city, New Jersey",129215
1600000US0678582,"Thousand Oaks city, California",126815
1600000US1303440,"Athens-Clarke County unified government (balance), Georgia",126718
1600000US2240735,"Lafayette city, Louisiana",126199
1600000US0672016,"Simi Valley city, California",125594
1600000US2071000,"Topeka city, Kansas",125318
1600000US4052500,"Norman city, Oklahoma",124867
1600000US3825700,"Fargo city, North Dakota",123736
1600000US3774440,"Wilmington city, North Carolina",123728
1600000US2915670,"Columbia city, Missouri",123204
1600000US4801000,"Abilene city, Texas",123201
1600000US4853388,"Odessa city, Texas",123163
1600000US4550875,"North Charleston city, South Carolina",122400
1600000US0682590,"Victorville city, California",122399
1600000US0937000,"Hartford city, Connecticut",122107
1600000US0681666,"Vallejo city, California",121692
1600000US4202000,"Allentown city, Pennsylvania",121441
1600000US0606000,"Berkeley city, California",121353
1600000US4861796,"Richardson city, Texas",121331
1600000US0803455,"Arvada city, Colorado",121095
1600000US2603000,"Ann Arbor city, Michigan",119976
1600000US0620802,"East Los Angeles CDP, California",119890
1600000US2511000,"Cambridge city, Massachusetts",118925
1600000US2754880,"Rochester city, Minnesota",118924
1600000US4870808,"Sugar Land city, Texas",118500
1600000US4815976,"College Station city, Texas",117911
1600000US1822000,"Evansville city, Indiana",117557
1600000US4872656,"The Woodlands CDP, Texas",117270
1600000US0623182,"Fairfield city, California",117136
1600000US1212875,"Clearwater city, Florida",116938
1600000US1208150,"Brandon CDP, Florida",116829
1600000US4807000,"Beaumont city, Texas",116822
1600000US2646000,"Lansing city, Michigan",116677
1600000US2935000,"Independence city, Missouri",116673
1600000US4962470,"Provo city, Utah",116616
1600000US4982950,"West Jordan city, Utah",116482
1600000US0650076,"Murrieta city, California",116223
1600000US1254000,"Palm Bay city, Florida",115560
1600000US0622230,"El Monte city, California",115477
1600000US0611194,"Carlsbad city, California",115386
1600000US0678120,"Temecula city, California",114751
1600000US0614218,"Clovis city, California",114582
1600000US1772000,"Springfield city, Illinois",114171
1600000US1652120,"Meridian city, Idaho",114161
1600000US1268350,"Spring Hill CDP, Florida",113787
1600000US0883835,"Westminster city, Colorado",113179
1600000US0616532,"Costa Mesa city, California",113011
1600000US3345140,"Manchester city, New Hampshire",112658
1600000US0862000,"Pueblo city, Colorado",112357
1600000US1238250,"Lakeland city, Florida",112142
1600000US1258050,"Pompano Beach city, Florida",112122
1600000US1276600,"West Palm Beach city, Florida",111952
1600000US3731400,"High Point city, North Carolina",111756
1600000US0602252,"Antioch city, California",111506
1600000US5322640,"Everett city, Washington",111489
1600000US0619766,"Downey city, California",111127
1600000US2537000,"Lowell city, Massachusetts",110990
1600000US0812815,"Centennial city, Colorado",110911
1600000US1723074,"Elgin city, Illinois",110889
1600000US4009050,"Broken Arrow city, Oklahoma",110715
1600000US0660620,"Richmond city, California",110575
1600000US1245060,"Miami Gardens city, Florida",110003
1600000US1759000,"Peoria city, Illinois",109936
1600000US3006550,"Billings city, Montana",109577
1600000US0637692,"Jurupa Valley city, California",109525
1600000US1368516,"Sandy Springs city, Georgia",109466
1600000US4131250,"Gresham city, Oregon",109379
1600000US4134100,"Hillsboro city, Oregon",109120
1600000US0665042,"San Buenaventura (Ventura) city, California",109108
1600000US0832155,"Greeley city, Colorado",108650
1600000US4842508,"Lewisville city, Texas",108562
1600000US0602553,"Arden-Arcade CDP, California",108227
1600000US0636546,"Inglewood city, California",108170
1600000US0980000,"Waterbury city, Connecticut",107577
1600000US0669196,"Santa Maria city, California",107273
1600000US4874144,"Tyler city, Texas",106991
1600000US4841980,"League City city, Texas",106730
1600000US7263820,"Ponce zona urbana, Puerto Rico",106546
1600000US1216475,"Davie town, Florida",106310
1600000US0617918,"Daly City city, California",106294
1600000US0807850,"Boulder city, Colorado",105670
1600000US4801924,"Allen city, Texas",105630
1600000US0684200,"West Covina city, California",105114
1600000US3268400,"Sparks city, Nevada",105011
1600000US2419125,"Columbia CDP, Maryland",104726
1600000US4879000,"Wichita Falls city, Texas",104677
1600000US5531000,"Green Bay city, Wisconsin",104565
1600000US0668252,"San Mateo city, California",104438
1600000US0652526,"Norwalk city, California",103946
1600000US0660466,"Rialto city, California",103540
1600000US3539380,"Las Cruces city, New Mexico",103436
1600000US0613014,"Chico city, California",103315
1600000US0621712,"El Cajon city, California",102699
1600000US1871000,"South Bend city, Indiana",102602
1600000US0608954,"Burbank city, California",102508
1600000US1810342,"Carmel city, Indiana",101918
1600000US5357745,"Renton city, Washington",101747
1600000US0682996,"Vista city, California",101639
1600000US1919000,"Davenport city, Iowa",101591
1600000US4822660,"Edinburg city, Texas",101168
1600000US0177256,"Tuscaloosa city, Alabama",101133
1600000US5367167,"Spokane Valley city, Washington",101075
1600000US0464210,"San Tan Valley CDP, Arizona",100732
1600000US0681554,"Vacaville city, California",100669
1600000US4105800,"Bend city, Oregon",100430
1600000US5539225,"Kenosha city, Wisconsin",99933
1600000US0836410,"Highlands Ranch CDP, Colorado",99810
1600000US1207300,"Boca Raton city, Florida",99795
1600000US2941348,"Lee's Summit city, Missouri",99290
1600000US1656260,"Nampa city, Idaho",99276
1600000US3563460,"Rio Rancho city, New Mexico",99159
1600000US1372122,"South Fulton city, Georgia",99152
1600000US5168000,"Roanoke city, Virginia",99143
1600000US4105350,"Beaverton city, Oregon",99040
1600000US1272145,"Town 'n' Country CDP, Florida",98550
1600000US0485540,"Yuma city, Arizona",98296
